,avg_rewards
0,-0.029569347
1,-0.027570704
2,-0.031308305
3,-0.036305587
4,-0.037616075
5,-0.049365964
6,-0.028082814
7,-0.043466033
8,-0.045485129
9,-0.036434438
10,-0.24915885
11,-0.029452856
12,-0.036834143
13,-0.137279119
14,-0.027885084
15,-0.068270287
16,-0.057072144
17,-0.074488625
18,-0.064122268
19,-0.127350914
20,-0.042270945
21,-0.046993267
22,-0.156042688
23,-0.044791062
24,-0.060716961
25,-0.063462204
26,-0.058906684
27,-0.166225202
28,-0.165500504
29,-0.036489192
30,-0.069118122
31,-0.179083841
32,-0.078202677
33,-0.140968691
34,-0.178927356
35,-0.073526659
36,-0.040031702
37,-0.043856255
38,-0.018543839
39,-0.02408156
40,-0.032703761
41,-0.006979916
42,-0.012081707
43,-0.030862674
44,-0.02698793
45,-0.013133739
46,-0.006906831
47,-0.004686553
48,-0.060738406
49,0.00308202
50,-0.019240267
51,-0.052001262
52,-0.019858274
53,-0.033282249
54,-0.054053984
55,-0.015985494
56,-0.054363722
57,-0.018759423
58,-0.030960577
59,-0.067558464
60,-0.041984955
61,-0.014471484
62,-0.045085047
63,-0.016942758
64,-0.079905093
65,-0.065110004
66,-0.032527298
67,-0.030055944
68,-0.085785047
69,-0.005239966
70,-0.021378394
71,-0.03725813
72,-0.014815423
73,-0.029985161
74,-0.008375986
75,-0.042255095
76,-0.115786713
77,-0.115366753
78,-0.081705014
79,-0.040445968
80,-0.096805734
81,-0.066203677
82,-0.056992176
83,-0.027425447
84,-0.111548727
85,-0.079510883
86,-0.014473329
87,-0.036364131
88,-0.035825696
89,-0.064724166
90,-0.094794355
91,-0.112667317
92,-0.093635374
93,-0.112991259
94,-0.090556865
95,-0.090517426
96,-0.075407105
97,-0.018805964
98,-0.011719477
99,-0.025767767